[Thu Nov 23 18:20:25.570211 2017] [ssl:warn] [pid 8] AH01906: localhost:443:0 server certificate is a CA certificate (BasicConstraints: CA == TRUE !?)
[Thu Nov 23 18:20:25.570300 2017] [ssl:warn] [pid 8] AH01909: localhost:443:0 server certificate does NOT include an ID which matches the server name
[Thu Nov 23 18:20:25.671744 2017] [ssl:warn] [pid 8] AH01906: localhost:443:0 server certificate is a CA certificate (BasicConstraints: CA == TRUE !?)
[Thu Nov 23 18:20:25.671815 2017] [ssl:warn] [pid 8] AH01909: localhost:443:0 server certificate does NOT include an ID which matches the server name
[Thu Nov 23 18:23:06.571950 2017] [:error] [pid 19] [client 172.23.0.1:44398] Slim Application Error:\nType: RuntimeException\nMessage: Callable App\\Action\\HomeAction does not exist\nFile: /var/www/html/vendor/slim/slim/Slim/CallableResolver.php\nLine: 90\nTrace: #0 /var/www/html/vendor/slim/slim/Slim/CallableResolver.php(67): Slim\\CallableResolver->resolveCallable('App\\\\Action\\\\Home...')\n#1 /var/www/html/vendor/slim/slim/Slim/CallableResolverAwareTrait.php(45): Slim\\CallableResolver->resolve('App\\\\Action\\\\Home...')\n#2 /var/www/html/vendor/slim/slim/Slim/Route.php(333): Slim\\Routable->resolveCallable('App\\\\Action\\\\Home...')\n#3 /var/www/html/vendor/slim/slim/Slim/MiddlewareAwareTrait.php(117): Slim\\Route->__invoke(Object(Slim\\Http\\Request), Object(Slim\\Http\\Response))\n#4 /var/www/html/vendor/slim/slim/Slim/Route.php(316): Slim\\Route->callMiddlewareStack(Object(Slim\\Http\\Request), Object(Slim\\Http\\Response))\n#5 /var/www/html/vendor/slim/slim/Slim/App.php(479): Slim\\Route->run(Object(Slim\\Http\\Request), Object(Slim\\Http\\Response))\n#6 /var/www/html/vendor/slim/slim/Slim/MiddlewareAwareTrait.php(117): Slim\\App->__invoke(Object(Slim\\Http\\Request), Object(Slim\\Http\\Response))\n#7 /var/www/html/vendor/slim/slim/Slim/App.php(370): Slim\\App->callMiddlewareStack(Object(Slim\\Http\\Request), Object(Slim\\Http\\Response))\n#8 /var/www/html/vendor/slim/slim/Slim/App.php(295): Slim\\App->process(Object(Slim\\Http\\Request), Object(Slim\\Http\\Response))\n#9 /var/www/html/public/index.php(24): Slim\\App->run()\n#10 {main}\nView in rendered output by enabling the "displayErrorDetails" setting.\n
[Thu Nov 23 18:23:50.455140 2017] [:error] [pid 19] [client 172.23.0.1:44408] PHP Fatal error:  Class 'App\\Actions\\HomeAction' not found in /var/www/html/app/services.php on line 61
[Thu Nov 23 18:24:08.225200 2017] [:error] [pid 24] [client 172.23.0.1:44424] PHP Fatal error:  Class 'Javanile\\Dotenv' not found in /var/www/html/app/services.php on line 31
[Thu Nov 23 18:27:21.682225 2017] [:error] [pid 22] [client 172.23.0.1:44472] PHP Fatal error:  Class 'Javanile\\Dotenv\\Environment' not found in /var/www/html/app/services.php on line 31
[Thu Nov 23 18:29:50.857265 2017] [:error] [pid 21] [client 172.23.0.1:44494] PHP Fatal error:  Class 'Javanile\\Dotenv\\Environment' not found in /var/www/html/app/services.php on line 31
[Thu Nov 23 18:29:52.506837 2017] [:error] [pid 21] [client 172.23.0.1:44494] PHP Fatal error:  Class 'Javanile\\Dotenv\\Environment' not found in /var/www/html/app/services.php on line 31
[Thu Nov 23 18:30:42.300713 2017] [:error] [pid 20] [client 172.23.0.1:44502] PHP Fatal error:  Class 'Javanile\\Dotenv\\Environment' not found in /var/www/html/app/services.php on line 31
[Thu Nov 23 18:38:17.975418 2017] [:error] [pid 25] [client 172.23.0.1:44690] PHP Fatal error:  Class 'Javanile\\Dotenv\\Environment' not found in /var/www/html/app/services.php on line 31
[Thu Nov 23 18:40:42.545216 2017] [:error] [pid 19] [client 172.23.0.1:44706] PHP Fatal error:  Class 'Javanile\\Dotenv\\Environment' not found in /var/www/html/app/services.php on line 31
[Thu Nov 23 18:43:15.461577 2017] [:error] [pid 23] [client 172.23.0.1:44816] PHP Warning:  date_default_timezone_get() [<a href='0function.date-default-timezone-get0'>function.date-default-timezone-get0</a>]: It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in /var/www/html/vendor/monolog/monolog/src/Monolog/Logger.php on line 311
[Thu Nov 23 18:43:15.467378 2017] [:error] [pid 23] [client 172.23.0.1:44816] PHP Catchable fatal error:  Argument 1 passed to Twig_Filter::__construct() must be an instance of string, string given, called in /var/www/html/vendor/twig/twig/lib/Twig/Extension/Core.php on line 139 and defined in /var/www/html/vendor/twig/twig/lib/Twig/Filter.php on line 35
[Thu Nov 23 18:44:28.922778 2017] [:error] [pid 19] [client 172.23.0.1:44822] PHP Catchable fatal error:  Argument 1 passed to Twig_Filter::__construct() must be an instance of string, string given, called in /var/www/html/vendor/twig/twig/lib/Twig/Extension/Core.php on line 139 and defined in /var/www/html/vendor/twig/twig/lib/Twig/Filter.php on line 35
